-1 0:-2.3571259459223 1:-0.7015965976876627
-1 0:-2.650545708301232 1:0.2856173657504431
-1 0:0.6577166415132711 1:-1.446148221135219
-1 0:-0.4939357509291782 1:-1.086469021623049
-1 0:1.291534229059177 1:-1.472380336847641
-1 0:-1.105099661910582 1:-0.5570316217370563
-1 0:-2.320756105526713 1:-1.375355355606142
-1 0:-0.1496516077186023 1:-1.940768526824146
-1 0:0.6489103569858625 1:-0.05353108671730789
-1 0:-0.8027000860290969 1:-0.5510700286491792
-1 0:-1.15245567004463 1:0.2191738685645821
-1 0:-1.349890436907741 1:-2.779099114666065
-1 0:0.04141851545070363 1:-1.904503824266126
-1 0:-0.7776224237020243 1:-2.017168176007843
-1 0:-1.505395925503652 1:0.3430046293665023
-1 0:-2.507561446866053 1:-0.3543533992218347
-1 0:-0.9664069916006562 1:-1.48361006726264
-1 0:-0.6677308542656366 1:-0.8829576960232198
-1 0:1.409606928149398 1:-0.4364727774496375
-1 0:-1.920556069578997 1:-0.2760166373607099
-1 0:-1.001820975940046 1:0.2039344544399195
-1 0:-1.184376354189979 1:-2.555577529100704
-1 0:-1.05030842049041 1:-1.388891978271256
-1 0:-1.177344195340069 1:-0.6679014572498247
-1 0:-0.2679333347955991 1:-0.3850603186794368
-1 0:-1.421231662738098 1:-1.15046755271984
-1 0:-1.045616920993585 1:-1.061358266550472
-1 0:-2.422664227399593 1:-1.628761411391615
-1 0:-2.13013466835032 1:-0.2141405710496948
-1 0:-1.410469755003317 1:-1.86128779291248
-1 0:-1.067116025528283 1:-0.51090984463558
-1 0:0.1679962010981688 1:-0.8245677306366128
-1 0:-0.611619607289914 1:0.5970122816286652
-1 0:-2.295965723421779 1:0.08788713592207276
-1 0:-0.6077962987267078 1:-0.3958772686689609
